date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:57	477/477	U--M-Z	200	updated ('OK')	text/xml	date:Mon,%2007%20May%202018%2004:23:56%20GMT	http://blogs.pingpoet.com/overflow/rsd.xml.ashx	./httrack/blogs.pingpoet.com/overflow/rsd.xml.ashx	(from http://blogs.pingpoet.com/overflow/)
21:23:58	0/-1	---M--	301	error ('')			http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.c.delayed	(from http://blogs.pingpoet.com/thoughtChain/)
21:23:58	2873/2873	U-----	200	untouched ('OK')	application/x-javascript	etag:%220c6812eb9c91:0%22	http://blogs.pingpoet.com/Skins/Piyo/Scripts/piyo.js	./httrack/blogs.pingpoet.com/Skins/Piyo/Scripts/piyo.js	(from http://blogs.pingpoet.com/overflow/)
21:23:58	13000/13000	U-----	200	untouched ('OK')	application/x-javascript	etag:%220f21a476fc4c61:0%22	http://blogs.pingpoet.com/Skins/Piyo/Scripts/lightbox.js	./httrack/blogs.pingpoet.com/Skins/Piyo/Scripts/lightbox.js	(from http://blogs.pingpoet.com/overflow/)
21:23:58	20794/20794	U-----	200	untouched ('OK')	application/x-javascript	date:Tue,%2004%20Mar%202014%2005:58:33%20GMT	http://blogs.pingpoet.com/WebResource.axd?d=vT1yz21OBJxBgCt3OM9vt4Y4jX88BPYiwkNtAfZuXqXphi6ccxTRjVFJnDscDk1pKotIsoE5gziAablpwXXNVTZ1pNg1&t=635294807132453548	./httrack/blogs.pingpoet.com/WebResourceca6f.js	(from http://blogs.pingpoet.com/overflow/)
21:23:58	82827/82827	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:58%20GMT	http://blogs.pingpoet.com/overflow/Default.aspx	./httrack/blogs.pingpoet.com/overflow/Default.html	(from http://blogs.pingpoet.com/overflow/)
21:24:00	24273/24273	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:59%20GMT	http://blogs.pingpoet.com/overflow/archive/2007/05/11.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2007/05/11.html	(from http://blogs.pingpoet.com/overflow/)
21:24:00	22077/22077	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:59%20GMT	http://blogs.pingpoet.com/overflow/archive/2007/03/09.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2007/03/09.html	(from http://blogs.pingpoet.com/overflow/)
21:24:00	27341/27341	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:59%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/10/14.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/10/14.html	(from http://blogs.pingpoet.com/overflow/)
21:24:00	23955/23955	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:59%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/10/01.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/10/01.html	(from http://blogs.pingpoet.com/overflow/)
